N_W_m N_L_m P_W_m P_L_m VCM ID_A JD_N_mA_per_um JD_P_mA_per_um VOUT_DC
0.22e-6 0.28e-6 30e-6 0.50e-6 0.85 6.30759E-06 0.0286709 0.000210253 1.78312
0.22e-6 0.28e-6 30e-6 0.50e-6 0.90 8.01468E-06 0.0364304 0.000267156 1.7677
0.22e-6 0.28e-6 30e-6 0.50e-6 0.95 9.77113E-06 0.0444142 0.000325704 1.69993
0.22e-6 0.28e-6 30e-6 0.50e-6 1.00 5.22498E-06 0.0237499 0.000174166 0.145327
0.22e-6 0.28e-6 30e-6 0.50e-6 1.05 2.00199E-06 0.00909994 6.67329E-05 0.0412605
0.22e-6 0.28e-6 30e-6 0.50e-6 1.10 6.87203E-07 0.00312365 2.29068E-05 0.0123044
0.22e-6 0.28e-6 30e-6 0.50e-6 1.15 2.18154E-07 0.000991608 7.2718E-06 0.00354937
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.55 7.75903E-08 0.000352683 0.000117561 1.79827
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.60 2.0906E-07 0.000950273 0.000316758 1.7949
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.65 4.82331E-07 0.00219242 0.000730805 1.78687
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.70 9.47678E-07 0.00430763 0.00143588 1.77043
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.75 1.6211E-06 0.00736865 0.00245622 1.73916
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.80 2.48587E-06 0.0112994 0.00376647 1.67465
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.85 3.26662E-06 0.0148483 0.00494943 1.0049
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.90 2.62598E-06 0.0119363 0.00397876 0.137
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.95 1.71334E-06 0.00778791 0.00259597 0.0632275
0.22e-6 0.36e-6 0.66e-6 0.28e-6 1.00 1.00217E-06 0.00455531 0.00151844 0.0302036
0.22e-6 0.36e-6 0.66e-6 0.28e-6 1.05 5.13047E-07 0.00233203 0.000777344 0.0133723
0.22e-6 0.36e-6 0.66e-6 0.28e-6 1.10 2.26216E-07 0.00102825 0.000342751 0.00526432
0.22e-6 0.36e-6 0.66e-6 0.28e-6 1.15 8.68195E-08 0.000394634 0.000131545 0.00183961
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.55 7.75743E-08 0.000352611 0.000117537 1.79761
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.60 2.08946E-07 0.000949756 0.000316585 1.79286
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.65 4.8174E-07 0.00218973 0.00072991 1.78132
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.70 9.45312E-07 0.00429687 0.00143229 1.75664
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.75 1.61256E-06 0.00732983 0.00244328 1.70429
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.80 2.3805E-06 0.0108205 0.00360682 1.35372
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.85 1.87847E-06 0.00853849 0.00284616 0.117877
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.90 1.21481E-06 0.00552185 0.00184062 0.0519064
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.95 7.06218E-07 0.00321008 0.00107003 0.0241525
0.22e-6 0.36e-6 0.66e-6 0.36e-6 1.00 3.59559E-07 0.00163436 0.000544787 0.0104749
0.22e-6 0.36e-6 0.66e-6 0.36e-6 1.05 1.57572E-07 0.000716237 0.000238746 0.00404762
0.22e-6 0.36e-6 0.66e-6 0.36e-6 1.10 6.00181E-08 0.000272809 9.09365E-05 0.00138891
0.22e-6 0.36e-6 0.66e-6 0.36e-6 1.15 2.05777E-08 9.35351E-05 3.11784E-05 0.000435195
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.55 7.75485E-08 0.000352493 0.000117498 1.79654
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.60 2.08762E-07 0.00094892 0.000316307 1.78956
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.65 4.80772E-07 0.00218533 0.000728442 1.77221
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.70 9.41228E-07 0.00427831 0.0014261 1.73282
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.75 1.59256E-06 0.00723893 0.00241298 1.62278
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.80 1.48638E-06 0.00675627 0.00225209 0.131179
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.85 9.95561E-07 0.00452528 0.00150843 0.0522816
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.90 6.08256E-07 0.0027648 0.0009216 0.024476
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.95 3.30114E-07 0.00150052 0.000500173 0.0110116
0.22e-6 0.36e-6 0.66e-6 0.50e-6 1.00 1.55254E-07 0.000705701 0.000235234 0.00447702
0.22e-6 0.36e-6 0.66e-6 0.50e-6 1.05 6.29064E-08 0.000285938 9.53127E-05 0.00160978
0.22e-6 0.36e-6 0.66e-6 0.50e-6 1.10 2.25198E-08 0.000102363 3.41209E-05 0.000520491
0.22e-6 0.36e-6 0.66e-6 0.50e-6 1.15 7.38654E-09 3.35752E-05 1.11917E-05 0.000156158
0.22e-6 0.36e-6 2e-6 0.28e-6 0.55 7.76185E-08 0.000352811 3.88092E-05 1.79944
0.22e-6 0.36e-6 2e-6 0.28e-6 0.60 2.09253E-07 0.000951148 0.000104626 1.79834
0.22e-6 0.36e-6 2e-6 0.28e-6 0.65 4.83278E-07 0.00219672 0.000241639 1.79575
