VDS_V W_m L_m VGS_V NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag
5.0 0.30e-6 0.60e-6 1.625 0.0138344 27.8817 30650.1 0.999995 -7.08403E-05
5.0 0.30e-6 0.60e-6 1.63 0.0138436 27.885 30673.7 0.999995 -7.07986E-05
5.0 0.30e-6 0.60e-6 1.635 0.0138528 27.8884 30697.3 0.999995 -7.07572E-05
5.0 0.30e-6 0.60e-6 1.64 0.0138619 27.8917 30720.8 0.999995 -7.0716E-05
5.0 0.30e-6 0.60e-6 1.645 0.013871 27.895 30744.3 0.999995 -7.0675E-05
5.0 0.30e-6 0.60e-6 1.65 0.0138801 27.8983 30767.7 0.999995 -7.06342E-05
5.0 0.30e-6 0.60e-6 1.655 0.0138891 27.9016 30791 0.999995 -7.05936E-05
5.0 0.30e-6 0.60e-6 1.66 0.0138981 27.9049 30814.3 0.999995 -7.05531E-05
5.0 0.30e-6 0.60e-6 1.665 0.0139071 27.9081 30837.5 0.999995 -7.05129E-05
5.0 0.30e-6 0.60e-6 1.67 0.0139161 27.9114 30860.7 0.999995 -7.04728E-05
5.0 0.30e-6 0.60e-6 1.675 0.013925 27.9146 30883.9 0.999995 -7.0433E-05
5.0 0.30e-6 0.60e-6 1.68 0.0139339 27.9179 30906.9 0.999995 -7.03933E-05
5.0 0.30e-6 0.60e-6 1.685 0.0139428 27.9211 30930 0.999995 -7.03538E-05
5.0 0.30e-6 0.60e-6 1.69 0.0139516 27.9243 30953 0.999995 -7.03145E-05
5.0 0.30e-6 0.60e-6 1.695 0.0139604 27.9275 30975.9 0.999995 -7.02753E-05
5.0 0.30e-6 0.60e-6 1.7 0.0139692 27.9307 30998.8 0.999995 -7.02364E-05
5.0 0.30e-6 0.60e-6 1.705 0.013978 27.9339 31021.6 0.999995 -7.01976E-05
5.0 0.30e-6 0.60e-6 1.71 0.0139867 27.9371 31044.5 0.999995 -7.01589E-05
