N_W_m N_L_m P_W_m P_L_m VCM NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.28e-6 20e-6 0.50e-6 0.90 0.0406058 15.4339 1695.35 0.997456 0.0673135
0.22e-6 0.28e-6 20e-6 0.50e-6 0.95 0.0426223 16.4148 2138.37 0.998218 0.0556966
0.22e-6 0.28e-6 20e-6 0.50e-6 1.00 0.0445893 17.3018 2634.34 0.998352 0.0538791
0.22e-6 0.28e-6 20e-6 0.50e-6 1.05 0.0425636 17.63 2845.25 0.998497 0.0515748
0.22e-6 0.28e-6 20e-6 0.50e-6 1.10 0.0404806 18.214 3262.17 0.998674 0.0486236
0.22e-6 0.28e-6 20e-6 0.50e-6 1.15 0.0401261 19.4443 4347.24 0.99887 0.0452344
0.22e-6 0.28e-6 30e-6 0.28e-6 0.55 0.116372 25.9785 19734.1 0.997593 0.0683572
0.22e-6 0.28e-6 30e-6 0.28e-6 0.60 0.111158 25.6044 18101.3 0.997598 0.0682491
0.22e-6 0.28e-6 30e-6 0.28e-6 0.65 0.105513 25.1804 16412.7 0.997604 0.0681107
0.22e-6 0.28e-6 30e-6 0.28e-6 0.70 0.0993352 24.6928 14664.5 0.997612 0.0679249
0.22e-6 0.28e-6 30e-6 0.28e-6 0.75 0.0925009 24.1219 12852.2 0.997625 0.0676708
0.22e-6 0.28e-6 30e-6 0.28e-6 0.80 0.0848366 23.4367 10969.1 0.997643 0.0673178
0.22e-6 0.28e-6 30e-6 0.28e-6 0.85 0.0760824 22.5846 9006.19 0.997668 0.0668137
0.22e-6 0.28e-6 30e-6 0.28e-6 0.90 0.0658352 21.469 6954.76 0.997706 0.0660635
0.22e-6 0.28e-6 30e-6 0.28e-6 0.95 0.053486 19.8953 4825.85 0.997767 0.0648629
0.22e-6 0.28e-6 30e-6 0.28e-6 1.00 0.0387052 17.5435 2787.27 0.997892 0.0623859
0.22e-6 0.28e-6 30e-6 0.28e-6 1.05 0.0312857 16.3983 2130.24 0.998441 0.052711
0.22e-6 0.28e-6 30e-6 0.28e-6 1.10 0.0360271 18.1074 3181.74 0.998589 0.0505827
0.22e-6 0.28e-6 30e-6 0.28e-6 1.15 0.0363555 18.9076 3835.78 0.998731 0.0481497
0.22e-6 0.28e-6 30e-6 0.36e-6 0.55 0.0989581 22.9234 9735.23 0.996471 0.0825371
0.22e-6 0.28e-6 30e-6 0.36e-6 0.60 0.0941023 22.5183 8863.88 0.996479 0.0823743
0.22e-6 0.28e-6 30e-6 0.36e-6 0.65 0.0888533 22.0586 7968.62 0.99649 0.0821658
0.22e-6 0.28e-6 30e-6 0.36e-6 0.70 0.0831131 21.5282 7046.81 0.996506 0.0818861
0.22e-6 0.28e-6 30e-6 0.36e-6 0.75 0.0767537 20.9032 6095.78 0.996528 0.0815007
0.22e-6 0.28e-6 30e-6 0.36e-6 0.80 0.0695958 20.1458 5112.31 0.996561 0.0809545
0.22e-6 0.28e-6 30e-6 0.36e-6 0.85 0.0613693 19.1902 4092.86 0.99661 0.080149
0.22e-6 0.28e-6 30e-6 0.36e-6 0.90 0.0516505 17.9115 3036.44 0.996688 0.0788787
0.22e-6 0.28e-6 30e-6 0.36e-6 0.95 0.0400595 16.1108 1989.06 0.996842 0.0764441
0.22e-6 0.28e-6 30e-6 0.36e-6 1.00 0.0358825 15.8894 1888.56 0.997746 0.0637687
0.22e-6 0.28e-6 30e-6 0.36e-6 1.05 0.0381281 16.9793 2441.76 0.997962 0.0609377
0.22e-6 0.28e-6 30e-6 0.36e-6 1.10 0.035716 17.2303 2590.21 0.99816 0.0579547
0.22e-6 0.28e-6 30e-6 0.36e-6 1.15 0.0333128 17.7038 2894.63 0.998389 0.0543603
0.22e-6 0.28e-6 30e-6 0.50e-6 0.55 0.082366 19.0565 3962.2 0.993985 0.10732
0.22e-6 0.28e-6 30e-6 0.50e-6 0.60 0.0781207 18.6378 3593.48 0.994 0.107076
0.22e-6 0.28e-6 30e-6 0.50e-6 0.65 0.0735473 18.1641 3217.02 0.994021 0.106763
0.22e-6 0.28e-6 30e-6 0.50e-6 0.70 0.0685557 17.6183 2831.27 0.99405 0.106346
0.22e-6 0.28e-6 30e-6 0.50e-6 0.75 0.0630258 16.975 2434.7 0.994092 0.105767
0.22e-6 0.28e-6 30e-6 0.50e-6 0.80 0.0567881 16.1939 2025.82 0.994156 0.104932
0.22e-6 0.28e-6 30e-6 0.50e-6 0.85 0.0495856 15.2054 1603.38 0.994257 0.103654
0.22e-6 0.28e-6 30e-6 0.50e-6 0.90 0.0410887 13.8964 1173.3 0.99444 0.101418
0.22e-6 0.28e-6 30e-6 0.50e-6 0.95 0.0342484 12.9562 935.597 0.99528 0.0926175
0.22e-6 0.28e-6 30e-6 0.50e-6 1.00 0.0398561 14.8032 1458.71 0.996451 0.0803597
0.22e-6 0.28e-6 30e-6 0.50e-6 1.05 0.0366319 14.8361 1470.4 0.99675 0.0769184
0.22e-6 0.28e-6 30e-6 0.50e-6 1.10 0.0334686 15.1216 1573.95 0.997122 0.0725146
0.22e-6 0.28e-6 30e-6 0.50e-6 1.15 0.0321756 16.1596 2012.76 0.997538 0.0674578
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.55 0.245779 41.2887 672678 0.999994 0.00179954
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.60 0.214966 40.1018 511807 0.999993 0.00182775
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.65 0.165888 37.8161 302346 0.999992 0.00186098
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.70 0.118718 34.8736 153528 0.999989 0.00189034
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.75 0.0839513 31.8398 76324.4 0.999986 0.00190616
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.80 0.0580885 28.6471 36566.5 0.99998 0.00188534
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.85 0.0391166 25.2447 16677.7 0.999972 0.00171147
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.90 0.0555105 28.2732 33546.2 0.999979 0.0017457
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.95 0.0840121 31.8608 76695.6 0.999986 0.00178241
0.22e-6 0.36e-6 0.66e-6 0.28e-6 1.00 0.124656 35.2986 169318 0.99999 0.00177741
0.22e-6 0.36e-6 0.66e-6 0.28e-6 1.05 0.185902 38.7982 379078 0.999993 0.0017582
0.22e-6 0.36e-6 0.66e-6 0.28e-6 1.10 0.26047 41.772 751873 0.999995 0.00172697
0.22e-6 0.36e-6 0.66e-6 0.28e-6 1.15 0.316457 43.5219 1.12496E+06 0.999995 0.00168256
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.55 0.183371 38.4133 346929 0.999992 0.00211639
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.60 0.164746 37.4641 278806 0.999991 0.00214325
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.65 0.13313 35.5858 180896 0.999989 0.00217425
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.70 0.0984821 32.9429 98410.3 0.999986 0.0021986
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.75 0.0696549 29.9354 49211.4 0.999981 0.00219479
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.80 0.0448712 26.1619 20611.5 0.999973 0.00195295
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.85 0.0652153 29.4064 43562.4 0.999981 0.00198358
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.90 0.100892 33.1931 104249 0.999987 0.00202309
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.95 0.146145 36.434 219925 0.99999 0.00201789
0.22e-6 0.36e-6 0.66e-6 0.36e-6 1.00 0.201213 39.2589 421508 0.999993 0.00199463
0.22e-6 0.36e-6 0.66e-6 0.36e-6 1.05 0.25223 41.2918 673158 0.999994 0.00195635
0.22e-6 0.36e-6 0.66e-6 0.36e-6 1.10 0.28773 42.5276 894750 0.999994 0.00190144
