VDS_set_V W_m L_m VBIAS_set_V VGS_actual_V VDS_actual_V VBS_actual_V ID_A JD_mA_per_um Pdc_mW gm_S gds_S gm_ID_1_per_V ro_Ohm gmro inv_gm_Ohm NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag SOpt_mag
5.0 50e-6 0.60e-6 0.635 0.635 5 0 3.91336E-07 7.82673E-06 0.00195668 8.58984E-06 3.67389E-08 21.95 2.72191E+07 233.808 116417 11.4043 37.2496 264573 0.995152 0.0849851 0.998774
5.0 50e-6 0.60e-6 0.64 0.64 5 0 4.37519E-07 8.75039E-06 0.0021876 9.55772E-06 4.10287E-08 21.8452 24373200 232.952 104628 10.9839 36.3551 215288 0.994998 0.08522 0.998641
5.0 50e-6 0.60e-6 0.645 0.645 5 0 4.88887E-07 9.77774E-06 0.00244444 1.06269E-05 4.57893E-08 21.7368 21839100 232.081 94101.2 10.5706 35.47 175556 0.994831 0.0854584 0.998495
5.0 50e-6 0.60e-6 0.65 0.65 5 0 5.45979E-07 1.09196E-05 0.00272989 1.18067E-05 5.10673E-08 21.6248 19582000 231.198 84697.8 10.1647 34.5945 143475 0.99465 0.0857002 0.998335
5.0 50e-6 0.60e-6 0.655 0.655 5 0 6.09384E-07 1.21877E-05 0.00304692 1.31074E-05 5.69131E-08 21.5092 17570700 230.305 76292.9 9.76648 33.7293 117528 0.994454 0.0859452 0.998161
5.0 50e-6 0.60e-6 0.66 0.66 5 0 6.79745E-07 1.35949E-05 0.00339873 1.45399E-05 6.33807E-08 21.3902 1.57777E+07 229.405 68776.4 9.37639 32.8746 96506.3 0.994242 0.0861935 0.997971
5.0 50e-6 0.60e-6 0.665 0.665 5 0 7.57764E-07 1.51553E-05 0.00378882 1.61159E-05 7.05286E-08 21.2677 1.41786E+07 228.501 62050.6 8.99473 32.031 79443.5 0.994012 0.0864447 0.997764
5.0 50e-6 0.60e-6 0.67 0.67 5 0 8.44203E-07 1.68841E-05 0.00422102 1.7848E-05 7.84194E-08 21.1418 12751900 227.597 56028.7 8.62184 31.1988 65568 0.993764 0.0866989 0.997539
5.0 50e-6 0.60e-6 0.675 0.675 5 0 9.39891E-07 1.87978E-05 0.00469946 1.97497E-05 8.712E-08 21.0127 11478400 226.695 50633.7 8.25803 30.3785 54262 0.993497 0.0869557 0.997295
5.0 50e-6 0.60e-6 0.68 0.68 5 0 1.04573E-06 2.09146E-05 0.00522864 2.18353E-05 9.67017E-08 20.8805 10341100 225.801 45797.3 7.90361 29.5705 45030.8 0.993209 0.0872151 0.997031
5.0 50e-6 0.60e-6 0.685 0.685 5 0 1.16269E-06 2.32538E-05 0.00581344 2.41203E-05 1.07241E-07 20.7453 9324830 224.918 41458.8 7.55884 28.7752 37477.4 0.9929 0.087477 0.996746
5.0 50e-6 0.60e-6 0.69 0.69 5 0 1.29183E-06 2.58366E-05 0.00645915 2.66211E-05 1.18817E-07 20.6073 8416310 224.051 37564.2 7.22399 27.9929 31283.2 0.992569 0.087741 0.996439
5.0 50e-6 0.60e-6 0.695 0.695 5 0 1.4343E-06 2.86859E-05 0.00717148 2.9355E-05 1.31516E-07 20.4665 7603650 223.205 34065.7 6.89926 27.224 26192 0.992214 0.0880072 0.996109
