W_m L_m VGS NFmin_dB NF_dB Rn SOpt_real SOpt_imag
10e-6 0.50e-6 0.35 0.00245589 3.762 68.8931 0.999484 0.0145372
10e-6 0.50e-6 0.40 0.00465824 7.71993 245.763 0.999677 0.0144568
10e-6 0.50e-6 0.45 0.00877853 12.6087 861.628 0.999779 0.0144321
10e-6 0.50e-6 0.50 0.0158857 17.4853 2752.04 0.999828 0.0145291
10e-6 0.50e-6 0.55 0.0262634 21.5821 7146.99 0.999847 0.0148533
10e-6 0.50e-6 0.60 0.0355305 23.7449 11792.3 0.999844 0.0155609
10e-6 0.50e-6 0.65 0.0357445 22.9694 9855.53 0.999817 0.0168202
10e-6 0.50e-6 0.70 0.0309931 20.4945 5552.49 0.999761 0.0186742
10e-6 0.50e-6 0.75 0.0274563 18.0449 3137.23 0.999681 0.0208755
10e-6 0.50e-6 0.80 0.0254572 16.1836 2026.21 0.999592 0.0229623
10e-6 0.50e-6 0.90 0.0232561 14.0094 1208.48 0.999448 0.0257012
10e-6 0.50e-6 1.00 0.02201 13.0119 950.196 0.999373 0.0268563
10e-6 0.50e-6 1.10 0.0213375 12.5333 845.828 0.999336 0.0273464
10e-6 0.50e-6 1.20 0.021031 12.2956 798.112 0.999315 0.0276106
